"","company","means_of_exchange","orig_yr","orig_loc_port_modern","orig_loc_region_modern","orig_loc_lat","orig_loc_long","dest_yr","dest_loc_port","dest_loc_region","dest_loc_lat","dest_loc_long","textile_quantity","textile_unit","textile_category","textile_name","textile_color_arch","textile_pattern_arch","textile_process_arch","textile_fiber_arch","textile_geography_arch","textile_quality_arch","textile_quality_inferred","value_per_piece","deb_dec","quant_ells","units_ells","ID","colorGroup","orig_country","dest_country"
"661","VOC","1 ship: Beieren",1710,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1710,"Semarang","Northeast coast of Java, Indonesia",-7.2651,112.745,3,"el",NA,"Laken","green",NA,NA,NA,NA,NA,"Mid-range",6,16.85,NA,NA,"VOC_661","blue-green","Indonesia","Indonesia"
"662","VOC","1 ship: Bentveld",1712,"Amsterdam","Netherlands",52.3679,4.9035,1712,"Colombo","Sri Lanka",7.873,80.7717,59,"el",NA,"Laken","green",NA,NA,NA,NA,NA,"Mid-range",5,273.35,NA,NA,"VOC_662","blue-green","Netherlands","Sri Lanka"
"663","VOC","1 ship: Bombardeerder",1715,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1715,"Padang","Sumatra, Indonesia",-0.947,100.4171,7,"el",NA,"Laken","green",NA,NA,NA,NA,NA,"Mid-range",6,40.25,NA,NA,"VOC_663","blue-green","Indonesia","Indonesia"
"664","VOC","3 ships: Ijsselmonde, Gelukkig Uur, Langerak",1713,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1713,"Padang","Sumatra, Indonesia",-0.947,100.4171,4,"el",NA,"Laken","green",NA,NA,NA,NA,NA,"Mid-range",6,22.3,NA,NA,"VOC_664","blue-green","Indonesia","Indonesia"
"665","VOC","3 ships: Ijsselmonde, Gelukkig Uur, Langerak",1713,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1713,"Padang","Sumatra, Indonesia",-0.947,100.4171,4,"el",NA,"Laken","green",NA,NA,NA,NA,NA,"Mid-range",6,21,NA,NA,"VOC_665","blue-green","Indonesia","Indonesia"
"666","VOC","1 ship: Karthago",1715,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1715,"Nakhon Si Thammarat","Thailand",8.4324,99.9599,1,"pees",NA,"Perpetuanen","green",NA,NA,NA,NA,NA,"Expensive",54,53.1,NA,NA,"VOC_666","blue-green","Indonesia","Thailand"
"667","VOC","1 ship: Mijnden",1712,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1712,NA,"Sri Lanka",7.873,80.7717,48,"rol",NA,"Doek","grey",NA,NA,NA,"Holland",NA,"Expensive",20,927,NA,NA,"VOC_667","grey","Indonesia","Sri Lanka"
"668","VOC","1 ship: Berg",1713,"Amsterdam","Netherlands",52.3679,4.9035,1713,NA,"Sri Lanka",7.873,80.7717,18,"rol",NA,"Doek","grey",NA,NA,NA,NA,NA,"Expensive",29,504.7,NA,NA,"VOC_668","grey","Netherlands","Sri Lanka"
"669","VOC","1 ship: Huis ter Duine",1710,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1710,"Banten (or Bantam)","Northwest coast of Java, Indonesia",-6.4058,106.064,1,"rol",NA,"Doek","grey",NA,NA,NA,NA,NA,"Expensive",20,20,NA,NA,"VOC_669","grey","Indonesia","Indonesia"
"670","VOC","2 ships: Schoonderloo, Maleijer",1712,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1712,"Padang","Sumatra, Indonesia",-0.947,100.4171,3,"rol",NA,"Doek","grey",NA,NA,NA,NA,NA,"Expensive",18,52.5,NA,NA,"VOC_670","grey","Indonesia","Indonesia"
"671","VOC","1 ship: Wijnendaal",1712,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1712,"Padang","Sumatra, Indonesia",-0.947,100.4171,4,"rol",NA,"Doek","grey",NA,NA,NA,NA,NA,"Expensive",18,70,NA,NA,"VOC_671","grey","Indonesia","Indonesia"
"672","VOC","1 ship: Huis te Loo",1712,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1712,NA,"Thailand",8.4324,99.9599,1,"rol",NA,"Doek","grey",NA,NA,NA,NA,NA,"Expensive",18,17.5,NA,NA,"VOC_672","grey","Indonesia","Thailand"
"673","VOC","1 ship: Kasteel Batavia",1715,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1715,NA,"Sri Lanka",7.873,80.7717,54,"rol",NA,"Doek","grey",NA,NA,NA,NA,NA,"Expensive",20,1052.525,NA,NA,"VOC_673","grey","Indonesia","Sri Lanka"
"674","VOC","2 ships: Wijnendaal, Naters",1715,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1715,"Padang","Sumatra, Indonesia",-0.947,100.4171,4,"pees",NA,"Doek","grey",NA,NA,NA,NA,NA,"Expensive",18,72,NA,NA,"VOC_674","grey","Indonesia","Indonesia"
"675","VOC","1 ship: Oude Zijpe",1715,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1715,"Padang","Sumatra, Indonesia",-0.947,100.4171,2,"pees",NA,"Doek","grey",NA,NA,NA,NA,NA,"Expensive",18,36,NA,NA,"VOC_675","grey","Indonesia","Indonesia"
"676","VOC","1 ship: Donkervliet",1715,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1715,"Malacca City","Malacca, Southwest Malaysia",2.1895,102.25,2,"rol",NA,"Doek","grey",NA,NA,NA,NA,NA,"Expensive",18,36,NA,NA,"VOC_676","grey","Indonesia","Malaysia"
"677","VOC","2 ships: Overnes, Peter en Paul",1715,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1715,"Ternate","Maluku, Indonesia",0.771,127.3695,4,"rol",NA,"Doek","grey",NA,NA,NA,NA,NA,"Expensive",18,72,NA,NA,"VOC_677","grey","Indonesia","Indonesia"
"678","VOC","1 ship: Huis ter Duine",1713,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1713,"Malacca City","Malacca, Southwest Malaysia",2.1895,102.25,3,"rol",NA,"Doek","grey",NA,NA,NA,NA,NA,"Expensive",21,63,NA,NA,"VOC_678","grey","Indonesia","Malaysia"
"679","VOC","2 ships: Ijsselmonde, Zanderhoef",1713,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1713,"Ambon","Maluku, Indonesia",-3.6255,128.1054,2,"rol",NA,"Doek","grey",NA,NA,NA,NA,NA,"Expensive",20,40,NA,NA,"VOC_679","grey","Indonesia","Indonesia"
"680","VOC","4 ships: Haak, Peter en Paul, Ter Eem, Hamer",1713,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1713,"Ternate","Maluku, Indonesia",0.771,127.3695,4,"rol",NA,"Doek","grey",NA,NA,NA,NA,NA,"Expensive",20,80,NA,NA,"VOC_680","grey","Indonesia","Indonesia"
"681","VOC","1 ship: Gelukkig Uur",1713,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1713,"Makassar","South Sulawesi, Indonesia",-5.1476,119.4327,2,"rol",NA,"Doek","grey",NA,NA,NA,NA,NA,"Expensive",20,40,NA,NA,"VOC_681","grey","Indonesia","Indonesia"
