"","X1","company","means_of_exchange","orig_yr","orig_loc_port_modern","orig_loc_region_modern","orig_loc_lat","orig_loc_long","dest_yr","dest_loc_port","dest_loc_region","dest_loc_lat","dest_loc_long","textile_quantity","textile_unit","quant_ells","units_ells","textile_category","textile_name","textile_color_arch","textile_pattern_arch","textile_process_arch","textile_fiber_arch","textile_geography_arch","textile_quality_arch","textile_quality_inferred","value_per_piece","deb_dec"
"44",44,"WIC","Ship: St. Marcus",1713,"Texel","Netherlands",53.053921,4.79605,1713,"Ouidah","Benin",6.3601,2.08266,20,"ps.",20,NA,NA,"caffa",NA,NA,NA,NA,NA,NA,"Mid-range",7.5,150
"45",45,"WIC","Ship: Koningin Hester",1713,"Vlissingen","Netherlands",51.455681,3.57649,1713,"Ouidah","Benin",6.3601,2.08266,24,"ps.",24,NA,NA,"caffa","white",NA,NA,NA,NA,NA,"Mid-range",7.4,177.6
"46",46,"WIC","Ship: Koningin Hester",1713,"Vlissingen","Netherlands",51.455681,3.57649,1713,"Ouidah","Benin",6.3601,2.08266,70,"ps.",70,NA,NA,"caffa",NA,NA,NA,NA,NA,NA,"Mid-range",9,630
"47",47,"WIC","Ship: Guntersteijn",1713,"Texel","Netherlands",53.053921,4.79605,1714,"Ardra","Benin",6.47216,2.62652,100,"ps.",100,NA,NA,"caffa",NA,NA,NA,NA,NA,NA,"Mid-range",8.5,850
"48",48,"WIC","Ship: Emmenes",1714,"Texel","Netherlands",53.053921,4.79605,1714,"Ouidah","Benin",6.3601,2.08266,80,"ps.",80,NA,NA,"caffa",NA,NA,NA,NA,NA,NA,"Mid-range",8.75,700
"49",49,"WIC","Ship: Acredam",1714,"Texel","Netherlands",53.053921,4.79605,1715,"Ardra","Benin",6.47216,2.62652,80,"ps.",80,NA,NA,"caffa",NA,NA,NA,NA,NA,NA,"Mid-range",9.5,760
"50",50,"WIC","Ship: Johanna Machteld",1710,"Texel","Netherlands",53.053921,4.79605,1711,"Loanda","Angola",-8.838333,13.234444,20,"ps.",500,NA,NA,"chintz","blue",NA,NA,NA,NA,NA,"Expensive",13.75,275
"51",51,"WIC","Ship: Johanna Machteld",1710,"Texel","Netherlands",53.053921,4.79605,1711,"Loanda","Angola",-8.838333,13.234444,100,"ps.",2500,NA,NA,"chintz","red",NA,NA,NA,NA,NA,"Expensive",12.8125,1281.25
"52",52,"WIC","Ship: Johanna Machteld",1710,"Texel","Netherlands",53.053921,4.79605,1711,"Loanda","Angola",-8.838333,13.234444,20,"ps.",500,NA,NA,"chintz","red",NA,NA,NA,NA,NA,"Expensive",12.8125,256.25
"53",53,"WIC","Ship: Adrichem",1711,"Vlissingen","Netherlands",51.455681,3.57649,1711,"Ouidah","Benin",6.3601,2.08266,100,"ps.",100,NA,NA,"chintz",NA,NA,NA,NA,NA,NA,"Expensive",13.125,1312.5
"54",54,"WIC","Ship: Acredam",1712,"Texel","Netherlands",53.053921,4.79605,1713,"Ouidah","Benin",6.3601,2.08266,100,"ps.",100,NA,NA,"chintz",NA,NA,NA,NA,NA,NA,"Expensive",11.5,1150
"55",55,"WIC","Ship: St. Marcus",1713,"Texel","Netherlands",53.053921,4.79605,1713,"Ouidah","Benin",6.3601,2.08266,75,"ps.",75,NA,NA,"chintz","red",NA,NA,NA,NA,NA,"Expensive",11,825
"56",56,"WIC","Ship: Guntersteijn",1713,"Texel","Netherlands",53.053921,4.79605,1714,"Ardra","Benin",6.47216,2.62652,76,"ps.",76,NA,NA,"chintz",NA,NA,"dyed",NA,NA,NA,"Expensive",11.8,896.8
"57",57,"WIC","Ship: Adrichem",1714,"Vlissingen","Netherlands",51.455681,3.57649,1715,"Loanda","Angola",-8.838333,13.234444,630,"ells",630,NA,NA,"chintz",NA,NA,NA,NA,"Inlandse",NA,"Inexpensive",0.525,330.75
"58",58,"WIC","Ship: Adrichem",1714,"Vlissingen","Netherlands",51.455681,3.57649,1715,"Loanda","Angola",-8.838333,13.234444,2026,"ells",2026,NA,NA,"chintz",NA,NA,NA,NA,"Inlandse",NA,"Inexpensive",0.55,1114.3
"59",59,"WIC","Ship: Adrichem",1714,"Vlissingen","Netherlands",51.455681,3.57649,1715,"Loanda","Angola",-8.838333,13.234444,45.75,"ps.",45.75,NA,NA,"chintz",NA,NA,NA,NA,NA,NA,"Inexpensive",0.549726775956284,25.15
"60",60,"WIC","Ship: Acredam",1714,"Texel","Netherlands",53.053921,4.79605,1715,"Ardra","Benin",6.47216,2.62652,167,"ps.",167,NA,NA,"chintz",NA,NA,NA,NA,"Inlandse",NA,"Mid-range",6.25,1043.75
"61",61,"WIC","Ship: Bosbeek",1715,"Texel","Netherlands",53.053921,4.79605,1715,"Loanda","Angola",-8.838333,13.234444,244.5,"ells",244.5,NA,NA,"chintz",NA,NA,NA,NA,NA,NA,"Inexpensive",0.572597137014315,140
"62",62,"WIC","Ship: Nieuwe Post",1715,"Texel","Netherlands",53.053921,4.79605,1715,"Loanda","Angola",-8.838333,13.234444,100,"ps.",100,NA,NA,"chintz",NA,NA,NA,NA,NA,NA,"Expensive",15.5,1550
"63",63,"WIC","Ship: St Clara 2",1710,"Texel","Netherlands",53.053921,4.79605,1710,"Ouidah","Benin",6.3601,2.08266,100,"ps.",100,NA,NA,"corroots",NA,NA,NA,NA,NA,NA,"Inexpensive",2.125,212.5
"64",64,"WIC","Ship: Honard",1710,"Hellevoetsluis","Netherlands",51.833698,4.13838,1711,"Ouidah","Benin",6.3601,2.08266,400,"ps.",400,NA,NA,"dekens",NA,NA,NA,NA,"Leiden",NA,"Mid-range",4,1600
"65",65,"WIC","Ship: Eva Maria 2",1711,"Texel","Netherlands",53.053921,4.79605,1711,"Elmina","Ghana",5.0847,-1.35093,90,"ps.",90,NA,NA,"dekens","green",NA,NA,NA,NA,NA,"Inexpensive",3.55,319.5
"66",66,"WIC","Ship: Eva Maria 2",1711,"Texel","Netherlands",53.053921,4.79605,1711,"Elmina","Ghana",5.0847,-1.35093,45,"ps.",45,NA,NA,"dekens","red",NA,NA,NA,NA,NA,"Inexpensive",3.55,159.75
"67",67,"WIC","Ship: Eva Maria 2",1711,"Texel","Netherlands",53.053921,4.79605,1711,"Elmina","Ghana",5.0847,-1.35093,45,"ps.",45,NA,NA,"dekens","white",NA,NA,NA,NA,NA,"Inexpensive",3.55,159.75
"68",68,"WIC","Ship: Accra",1711,"Texel","Netherlands",53.053921,4.79605,1711,"Elmina","Ghana",5.0847,-1.35093,46,"ps.",46,NA,NA,"dekens",NA,NA,NA,NA,NA,NA,"Mid-range",4.25,195.5
"69",69,"WIC","Ship: Accra",1711,"Texel","Netherlands",53.053921,4.79605,1711,"Elmina","Ghana",5.0847,-1.35093,24,"ps.",24,NA,NA,"dekens",NA,NA,NA,NA,NA,NA,"Mid-range",4.25,102
"70",70,"WIC","Ship: Accra",1711,"Texel","Netherlands",53.053921,4.79605,1711,"Elmina","Ghana",5.0847,-1.35093,10,"ps.",10,NA,NA,"dekens",NA,NA,NA,NA,NA,NA,"Mid-range",4.25,42.5
"71",71,"WIC","Ship: Adrichem",1711,"Vlissingen","Netherlands",51.455681,3.57649,1711,"Ouidah","Benin",6.3601,2.08266,180,"ps.",180,NA,NA,"dekens","green",NA,NA,NA,NA,NA,"Inexpensive",3.25,585
"72",72,"WIC","Ship: Adrichem",1711,"Vlissingen","Netherlands",51.455681,3.57649,1711,"Ouidah","Benin",6.3601,2.08266,72,"ps.",72,NA,NA,"dekens","red",NA,NA,NA,NA,NA,"Inexpensive",3.25,234
"73",73,"WIC","Ship: Adrichem",1711,"Vlissingen","Netherlands",51.455681,3.57649,1711,"Ouidah","Benin",6.3601,2.08266,108,"ps.",108,NA,NA,"dekens","white",NA,NA,NA,NA,NA,"Inexpensive",3.25,351
"74",74,"WIC","Ship: St. Clara 2",1712,"Texel","Netherlands",53.053921,4.79605,1712,"Ouidah","Benin",6.3601,2.08266,64,"ps.",64,NA,NA,"dekens","green",NA,NA,NA,"Leiden",NA,"Mid-range",4,256
"75",75,"WIC","Ship: St. Clara 2",1712,"Texel","Netherlands",53.053921,4.79605,1712,"Ouidah","Benin",6.3601,2.08266,64,"ps.",64,NA,NA,"dekens","green",NA,NA,NA,"Leiden",NA,"Mid-range",4,256
"76",76,"WIC","Ship: St. Clara 2",1712,"Texel","Netherlands",53.053921,4.79605,1712,"Ouidah","Benin",6.3601,2.08266,232,"ps.",232,NA,NA,"dekens","white",NA,NA,NA,"Leiden",NA,"Mid-range",4,928
